,n_est,loss,estimatorsErrors,estimatorsWeights,estimatorsSampleWeights,learning_rate,averageLoss,kerasEpochs,kerasBatchSize,dropout,nn1,keraslr,input_dim,testLoss,meanTestLoss,fullTestLoss,real_n_est
0,8,exponential,"[0.00021123 0.00044198 0.00256918 0.01269531 0.04456295 0.08456056
 0.10759577 0.11278518]","[4.2311809  3.86190591 2.98079741 2.17687321 1.53263302 1.19096814
 1.05776892 1.03130109]","[array([2.81710749e-07, 2.82003535e-07, 2.81709845e-07, ...,
       2.81876051e-07, 2.81824741e-07, 2.81828030e-07]), array([4.07079870e-07, 4.07938423e-07, 4.07084701e-07, ...,
       4.07480177e-07, 4.07412481e-07, 4.07417438e-07]), array([9.78406747e-07, 9.83393284e-07, 9.78434246e-07, ...,
       9.79894663e-07, 9.79305086e-07, 9.79499545e-07]), array([2.14264639e-06, 2.15494525e-06, 2.14274525e-06, ...,
       2.14691537e-06, 2.14524888e-06, 2.14644350e-06]), array([3.87940644e-06, 3.90485042e-06, 3.87974557e-06, ...,
       3.88830559e-06, 3.88558103e-06, 3.89041656e-06]), array([4.90039399e-06, 4.94075476e-06, 4.90080445e-06, ...,
       4.91166374e-06, 4.90818331e-06, 4.91548416e-06]), array([4.91755329e-06, 4.95976967e-06, 4.91806537e-06, ...,
       4.92908608e-06, 4.92577430e-06, 4.93327757e-06]), array([1.24032504e-05, 1.25097303e-05, 1.24045420e-05, ...,
       1.24323389e-05, 1.24239858e-05, 1.24429108e-05]), array([1.24032504e-05, 1.25097303e-05, 1.24045420e-05, ...,
       1.24323389e-05, 1.24239858e-05, 1.24429108e-05])]",0.5,[],350,10000,0.1,25,0.5,21,1192.7858500962702,0.09245685218946363,5963.559423072594,8
1,8,exponential,"[0.00020507 0.00028461 0.00057677 0.00160752 0.00464539 0.01199157
 0.02639114 0.05019705]","[2.54758739 2.44923554 2.237246   1.92943679 1.61016683 1.32344616
 1.08239437 0.88208947]","[array([1.51702668e-06, 1.51760756e-06, 1.51695661e-06, ...,
       1.51723556e-06, 1.51720623e-06, 1.51712410e-06]), array([1.67289501e-06, 1.67467322e-06, 1.67301121e-06, ...,
       1.67339358e-06, 1.67341442e-06, 1.67334229e-06]), array([2.06599800e-06, 2.06975790e-06, 2.06628637e-06, ...,
       2.06728754e-06, 2.06747069e-06, 2.06724535e-06]), array([2.80466858e-06, 2.81402518e-06, 2.80511857e-06, ...,
       2.80711297e-06, 2.80724092e-06, 2.80700092e-06]), array([3.83880940e-06, 3.85424501e-06, 3.83939416e-06, ...,
       3.84275016e-06, 3.84323876e-06, 3.84331621e-06]), array([5.05084973e-06, 5.07432610e-06, 5.05163668e-06, ...,
       5.05664189e-06, 5.05811436e-06, 5.05786711e-06]), array([6.27499211e-06, 6.30619947e-06, 6.27608177e-06, ...,
       6.28357859e-06, 6.28430003e-06, 6.28599784e-06]), array([1.77993330e-05, 1.78878543e-05, 1.78024239e-05, ...,
       1.78236890e-05, 1.78257354e-05, 1.78305513e-05]), array([1.77993330e-05, 1.78878543e-05, 1.78024239e-05, ...,
       1.78236890e-05, 1.78257354e-05, 1.78305513e-05])]",0.3,[],350,10000,0.1,12,0.5,21,1169.8171711429063,0.09067647245507374,5848.723149824711,8
2,12,exponential,"[2.01721461e-04 4.42606986e-04 2.57532170e-03 1.45625534e-02
 5.02594526e-02 8.27890391e-02 1.29324474e-01 1.82025671e-01
 1.21907107e-01 2.11528383e-01 2.34082953e-01 1.01105605e-01]","[4.25421049 3.86119282 2.97960109 2.10731613 1.4694951  1.20252091
 0.95347241 0.75134161 0.98724652 0.65786861 0.59269916 1.09249999]","[array([2.75305257e-07, 2.75657023e-07, 2.75327917e-07, ...,
       2.75403987e-07, 2.75466113e-07, 2.75410595e-07]), array([4.07422219e-07, 4.08366004e-07, 4.07436743e-07, ...,
       4.07702399e-07, 4.07812381e-07, 4.07658890e-07]), array([9.79676709e-07, 9.82787101e-07, 9.79696391e-07, ...,
       9.80621243e-07, 9.81289283e-07, 9.80928768e-07]), array([2.29697536e-06, 2.30880402e-06, 2.29723090e-06, ...,
       2.30032350e-06, 2.30163611e-06, 2.30168179e-06]), array([4.09077024e-06, 4.11383720e-06, 4.09130972e-06, ...,
       4.09778231e-06, 4.10000792e-06, 4.10288483e-06]), array([4.76779017e-06, 4.79509486e-06, 4.76844148e-06, ...,
       4.77641784e-06, 4.77902758e-06, 4.78233497e-06]), array([5.39860356e-06, 5.43216184e-06, 5.39931262e-06, ...,
       5.40840313e-06, 5.41130566e-06, 5.41704243e-06]), array([5.71881246e-06, 5.75910226e-06, 5.71969002e-06, ...,
       5.72933520e-06, 5.73272641e-06, 5.73913104e-06]), array([3.87615830e-06, 3.90363618e-06, 3.87674813e-06, ...,
       3.88329669e-06, 3.88560797e-06, 3.89004689e-06]), array([4.73683430e-06, 4.77057163e-06, 4.73755909e-06, ...,
       4.74556652e-06, 4.74839255e-06, 4.75380975e-06]), array([4.36138277e-06, 4.39733995e-06, 4.36196644e-06, ...,
       4.36955514e-06, 4.37195345e-06, 4.37769699e-06]), array([6.82228277e-06, 6.87852871e-06, 6.82319578e-06, ...,
       6.83506640e-06, 6.83881795e-06, 6.84780226e-06]), array([6.82228277e-06, 6.87852871e-06, 6.82319578e-06, ...,
       6.83506640e-06, 6.83881795e-06, 6.84780226e-06])]",0.5,[],400,25000,0.1,12,0.5,21,1196.2194294888766,0.0927230005029747,5980.726255442371,12
3,12,exponential,"[0.00020712 0.00028908 0.00056912 0.00160526 0.0046379  0.01189341
 0.02296612 0.04688532 0.07747162 0.10774643 0.14312759 0.14533233]","[2.54460846 2.44455074 2.24125625 1.929858   1.61065351 1.32594186
 1.12515033 0.90360921 0.74316193 0.63419093 0.53686577 0.5315069 ]","[array([1.52147187e-06, 1.52192808e-06, 1.52146908e-06, ...,
       1.52191271e-06, 1.52165836e-06, 1.52171361e-06]), array([1.68065019e-06, 1.68258126e-06, 1.68063469e-06, ...,
       1.68154240e-06, 1.68135942e-06, 1.68104273e-06]), array([2.05762086e-06, 2.06147710e-06, 2.05762772e-06, ...,
       2.05905079e-06, 2.05925463e-06, 2.05903012e-06]), array([2.80348501e-06, 2.81052674e-06, 2.80341843e-06, ...,
       2.80593419e-06, 2.80624045e-06, 2.80605655e-06]), array([3.83701476e-06, 3.85115404e-06, 3.83696136e-06, ...,
       3.84087292e-06, 3.84106693e-06, 3.84138970e-06]), array([5.03835945e-06, 5.06270723e-06, 5.03843828e-06, ...,
       5.04443464e-06, 5.04482204e-06, 5.04484130e-06]), array([6.01321099e-06, 6.04519785e-06, 6.01344363e-06, ...,
       6.02177281e-06, 6.02245505e-06, 6.02287354e-06]), array([7.24813073e-06, 7.28936657e-06, 7.24871436e-06, ...,
       7.25933596e-06, 7.26107813e-06, 7.26355210e-06]), array([8.05215232e-06, 8.10336347e-06, 8.05281130e-06, ...,
       8.06471024e-06, 8.06906381e-06, 8.07144117e-06]), array([8.36732192e-06, 8.42833929e-06, 8.36796368e-06, ...,
       8.38051146e-06, 8.38514864e-06, 8.38747901e-06]), array([8.51821958e-06, 8.60205563e-06, 8.51887378e-06, ...,
       8.53151550e-06, 8.53722737e-06, 8.53923709e-06]), array([1.33659949e-05, 1.34975426e-05, 1.33670214e-05, ...,
       1.33868576e-05, 1.33958201e-05, 1.33989736e-05]), array([1.33659949e-05, 1.34975426e-05, 1.33670214e-05, ...,
       1.33868576e-05, 1.33958201e-05, 1.33989736e-05])]",0.3,[],300,25000,0.1,15,0.5,21,1182.3462977118745,0.09164764729182812,5911.364897970206,12
4,8,exponential,"[0.00022369 0.00024594 0.00033697 0.00055915 0.00107263 0.00218342
 0.0043271  0.00830694]","[1.68100846 1.66203305 1.5990342  1.49770617 1.36731415 1.22493574
 1.08770441 0.9564645 ]","[array([3.60837242e-06, 3.61067431e-06, 3.60840860e-06, ...,
       3.60944173e-06, 3.60879211e-06, 3.60871579e-06]), array([3.67614711e-06, 3.68037912e-06, 3.67619864e-06, ...,
       3.67792284e-06, 3.67707900e-06, 3.67729142e-06]), array([3.91340299e-06, 3.91936164e-06, 3.91357591e-06, ...,
       3.91572243e-06, 3.91496430e-06, 3.91525482e-06]), array([4.32788215e-06, 4.33679887e-06, 4.32800615e-06, ...,
       4.33117619e-06, 4.33012349e-06, 4.33058322e-06]), array([4.92504245e-06, 4.93884732e-06, 4.92519291e-06, ...,
       4.92970395e-06, 4.92821432e-06, 4.92847851e-06]), array([5.66687082e-06, 5.68997735e-06, 5.66704030e-06, ...,
       5.67324511e-06, 5.67146776e-06, 5.67118674e-06]), array([6.47613512e-06, 6.50663491e-06, 6.47622569e-06, ...,
       6.48400120e-06, 6.48151484e-06, 6.48228504e-06]), array([1.90923654e-05, 1.91822821e-05, 1.90926324e-05, ...,
       1.91155554e-05, 1.91082254e-05, 1.91104960e-05]), array([1.90923654e-05, 1.91822821e-05, 1.90926324e-05, ...,
       1.91155554e-05, 1.91082254e-05, 1.91104960e-05])]",0.2,[],350,25000,0.1,25,0.5,21,1177.693974202927,0.09128703001340414,5888.104722894581,8
5,12,exponential,"[0.00020595 0.00024822 0.0003488  0.00056479 0.00106855 0.00217462
 0.00434153 0.00820478 0.01454286 0.02405009 0.03699248 0.04733474]","[1.69753293 1.66019007 1.59213467 1.49569808 1.3680769  1.22574444
 1.08703571 0.95896005 0.84320108 0.74065451 0.65186931 0.6004038 ]","[array([3.54928649e-06, 3.55045004e-06, 3.54944309e-06, ...,
       3.54969246e-06, 3.54977105e-06, 3.54984201e-06]), array([3.68311103e-06, 3.68612090e-06, 3.68330834e-06, ...,
       3.68430649e-06, 3.68417294e-06, 3.68418011e-06]), array([3.94073350e-06, 3.94618006e-06, 3.94102654e-06, ...,
       3.94246289e-06, 3.94234506e-06, 3.94287297e-06]), array([4.33690403e-06, 4.34444914e-06, 4.33736634e-06, ...,
       4.33939446e-06, 4.33949770e-06, 4.34017276e-06]), array([4.92172380e-06, 4.93208558e-06, 4.92224140e-06, ...,
       4.92479579e-06, 4.92521014e-06, 4.92594656e-06]), array([5.66278425e-06, 5.67644560e-06, 5.66336264e-06, ...,
       5.66747009e-06, 5.66724453e-06, 5.66775544e-06]), array([6.48085215e-06, 6.49933647e-06, 6.48149788e-06, ...,
       6.48655065e-06, 6.48683562e-06, 6.48689694e-06]), array([7.31847174e-06, 7.34508421e-06, 7.31925831e-06, ...,
       7.32598418e-06, 7.32592531e-06, 7.32615743e-06]), array([8.13052543e-06, 8.16436912e-06, 8.13133897e-06, ...,
       8.13961940e-06, 8.13970777e-06, 8.14154875e-06]), array([8.86672788e-06, 8.90576296e-06, 8.86764418e-06, ...,
       8.87745840e-06, 8.87722571e-06, 8.88129073e-06]), array([9.47642131e-06, 9.52262108e-06, 9.47751221e-06, ...,
       9.48881022e-06, 9.48831731e-06, 9.49597697e-06]), array([1.76622197e-05, 1.77483272e-05, 1.76642530e-05, ...,
       1.76853103e-05, 1.76843916e-05, 1.76986677e-05]), array([1.76622197e-05, 1.77483272e-05, 1.76642530e-05, ...,
       1.76853103e-05, 1.76843916e-05, 1.76986677e-05])]",0.2,[],300,10000,0.1,25,0.3,21,1165.1573528277472,0.0903152742289549,5825.42550304182,12
6,8,exponential,"[0.0002027  0.00044765 0.00256764 0.01459022 0.05078296 0.08906735
 0.12077982 0.11924051]","[4.25178036 3.85552852 2.98109838 2.10635315 1.46403831 1.16253806
 0.99253307 0.99982101]","[array([2.75967507e-07, 2.76286449e-07, 2.75960831e-07, ...,
       2.76071376e-07, 2.76068078e-07, 2.76081273e-07]), array([4.09694180e-07, 4.10769935e-07, 4.09698318e-07, ...,
       4.09945698e-07, 4.10115487e-07, 4.10204723e-07]), array([9.78087132e-07, 9.81548943e-07, 9.78083485e-07, ...,
       9.78978867e-07, 9.79462596e-07, 9.79619047e-07]), array([2.29911327e-06, 2.30821451e-06, 2.29908963e-06, ...,
       2.30172261e-06, 2.30247650e-06, 2.30286439e-06]), array([4.11270644e-06, 4.13050355e-06, 4.11269830e-06, ...,
       4.11845110e-06, 4.11882501e-06, 4.12362977e-06]), array([4.95757289e-06, 4.98226373e-06, 4.95779209e-06, ...,
       4.96474091e-06, 4.96744986e-06, 4.97261226e-06]), array([5.15500711e-06, 5.18406182e-06, 5.15537377e-06, ...,
       5.16368468e-06, 5.16592542e-06, 5.17416944e-06]), array([1.20994890e-05, 1.21676842e-05, 1.21003496e-05, ...,
       1.21198564e-05, 1.21251157e-05, 1.21444655e-05]), array([1.20994890e-05, 1.21676842e-05, 1.21003496e-05, ...,
       1.21198564e-05, 1.21251157e-05, 1.21444655e-05])]",0.5,[],300,10000,0.1,12,0.5,21,1175.4974387280488,0.09111676914410113,5877.122726563667,8
7,8,exponential,"[0.00020968 0.00028602 0.00058226 0.00159505 0.00472384 0.01249911
 0.02634797 0.04919323]","[2.54090915 2.44774403 2.23440372 1.93177611 1.60511917 1.31085594
 1.08289887 0.88846643]","[array([1.52709623e-06, 1.52869076e-06, 1.52710958e-06, ...,
       1.52770017e-06, 1.52736057e-06, 1.52765970e-06]), array([1.67523130e-06, 1.67903233e-06, 1.67530568e-06, ...,
       1.67645430e-06, 1.67663849e-06, 1.67627867e-06]), array([2.07168978e-06, 2.07971221e-06, 2.07178030e-06, ...,
       2.07354503e-06, 2.07419724e-06, 2.07358704e-06]), array([2.79790176e-06, 2.80973735e-06, 2.79808288e-06, ...,
       2.80109202e-06, 2.80214299e-06, 2.80121961e-06]), array([3.85876976e-06, 3.87682690e-06, 3.85830739e-06, ...,
       3.86336895e-06, 3.86400469e-06, 3.86408376e-06]), array([5.11489581e-06, 5.14205152e-06, 5.11427623e-06, ...,
       5.12292556e-06, 5.12288368e-06, 5.12372356e-06]), array([6.26760547e-06, 6.30977563e-06, 6.26683145e-06, ...,
       6.27831594e-06, 6.27810297e-06, 6.28065125e-06]), array([1.77897956e-05, 1.79094902e-05, 1.77875986e-05, ...,
       1.78201958e-05, 1.78195914e-05, 1.78268243e-05]), array([1.77897956e-05, 1.79094902e-05, 1.77875986e-05, ...,
       1.78201958e-05, 1.78195914e-05, 1.78268243e-05])]",0.3,[],400,10000,0.1,15,0.7,21,1205.5757818639054,0.09344824291635574,6027.505116347862,8
8,10,exponential,"[0.00019975 0.00024541 0.00034933 0.00057872 0.00109233 0.002206
 0.00435384 0.00818479 0.01457929 0.02452417]","[1.70365005 1.66246422 1.59182962 1.49082194 1.36366917 1.22287295
 1.08646694 0.95945175 0.84269338 0.73665322]","[array([3.52753822e-06, 3.52955477e-06, 3.52760786e-06, ...,
       3.52816156e-06, 3.52836710e-06, 3.52812823e-06]), array([3.67456806e-06, 3.68046269e-06, 3.67475036e-06, ...,
       3.67614990e-06, 3.67572971e-06, 3.67564304e-06]), array([3.94182490e-06, 3.94941708e-06, 3.94192967e-06, ...,
       3.94409615e-06, 3.94363547e-06, 3.94343092e-06]), array([4.35790725e-06, 4.36991074e-06, 4.35803257e-06, ...,
       4.36160560e-06, 4.36024591e-06, 4.36075621e-06]), array([4.94357804e-06, 4.96024824e-06, 4.94326383e-06, ...,
       4.94829706e-06, 4.94646577e-06, 4.94662372e-06]), array([5.67920528e-06, 5.70484224e-06, 5.67867963e-06, ...,
       5.68553918e-06, 5.68337974e-06, 5.68364068e-06]), array([6.48449624e-06, 6.51687904e-06, 6.48383319e-06, ...,
       6.49385653e-06, 6.48979116e-06, 6.48961827e-06]), array([7.31466663e-06, 7.35706473e-06, 7.31393012e-06, ...,
       7.32612547e-06, 7.32128113e-06, 7.32168436e-06]), array([8.13454027e-06, 8.18599015e-06, 8.13376672e-06, ...,
       8.14789053e-06, 8.14228930e-06, 8.14537844e-06]), array([1.85952821e-05, 1.87128948e-05, 1.85935138e-05, ...,
       1.86258003e-05, 1.86129961e-05, 1.86200578e-05]), array([1.85952821e-05, 1.87128948e-05, 1.85935138e-05, ...,
       1.86258003e-05, 1.86129961e-05, 1.86200578e-05])]",0.2,[],400,25000,0.1,25,0.7,21,1194.220974059782,0.09256809348575941,5970.734597924968,10
9,12,exponential,"[0.00020516 0.00025114 0.00034963 0.00056819 0.00106139 0.00220643
 0.00428814 0.00824227 0.01431524 0.02426645 0.03401803 0.05120945]","[1.69830722 1.65784632 1.59165642 1.49449767 1.36942278 1.2228343
 1.08952084 0.95804066 0.84640236 0.73881899 0.66925093 0.58385281]","[array([3.54666262e-06, 3.54829790e-06, 3.54651793e-06, ...,
       3.54665945e-06, 3.54677739e-06, 3.54714622e-06]), array([3.69180685e-06, 3.69577237e-06, 3.69174744e-06, ...,
       3.69242628e-06, 3.69250423e-06, 3.69305839e-06]), array([3.94261601e-06, 3.95007701e-06, 3.94254496e-06, ...,
       3.94381750e-06, 3.94392499e-06, 3.94557040e-06]), array([4.34195495e-06, 4.35222357e-06, 4.34186327e-06, ...,
       4.34451415e-06, 4.34440300e-06, 4.34532095e-06]), array([4.91493138e-06, 4.92919425e-06, 4.91476077e-06, ...,
       4.91843989e-06, 4.91813128e-06, 4.91919622e-06]), array([5.67920530e-06, 5.69830202e-06, 5.67900938e-06, ...,
       5.68376517e-06, 5.68350291e-06, 5.68620823e-06]), array([6.46451826e-06, 6.49144165e-06, 6.46416362e-06, ...,
       6.47062699e-06, 6.46952210e-06, 6.47301407e-06]), array([7.32537338e-06, 7.35891486e-06, 7.32488881e-06, ...,
       7.33276994e-06, 7.33150823e-06, 7.33559685e-06]), array([8.10431634e-06, 8.14394216e-06, 8.10378431e-06, ...,
       8.11445897e-06, 8.11170675e-06, 8.11745716e-06]), array([8.88436586e-06, 8.92982184e-06, 8.88379218e-06, ...,
       8.89719260e-06, 8.89249472e-06, 8.90080892e-06]), array([9.31333841e-06, 9.36228630e-06, 9.31304855e-06, ...,
       9.32769203e-06, 9.32316696e-06, 9.33234340e-06]), array([1.76978589e-05, 1.77908731e-05, 1.76973081e-05, ...,
       1.77251346e-05, 1.77165358e-05, 1.77339735e-05]), array([1.76978589e-05, 1.77908731e-05, 1.76973081e-05, ...,
       1.77251346e-05, 1.77165358e-05, 1.77339735e-05])]",0.2,[],350,10000,0.1,15,0.7,21,1169.8988544313365,0.09068280400211895,5849.131540940674,12
