,n_est,loss,estimatorsErrors,estimatorsWeights,estimatorsSampleWeights,learning_rate,averageLoss,kerasEpochs,kerasBatchSize,dropout,nn1,keraslr,input_dim,testLoss,meanTestLoss,fullTestLoss,real_n_est
0,8,deviance,"[0.00327183 0.01156246 0.02863    0.01664927 0.03144196 0.06899918
 0.01233495 0.0218293 ]","[2.85956425 2.22418078 1.76212624 2.03929982 1.71383253 1.3010828
 2.19145358 1.9012155 ]","[array([1.11125510e-06, 1.11608432e-06, 1.12337652e-06, ...,
       1.11109562e-06, 1.11243044e-06, 1.11223044e-06]), array([2.07668810e-06, 2.12939393e-06, 2.12662608e-06, ...,
       2.08243442e-06, 2.08942762e-06, 2.10444144e-06]), array([3.19059794e-06, 3.32285284e-06, 3.33275296e-06, ...,
       3.19882622e-06, 3.22377172e-06, 3.34631952e-06]), array([2.30385819e-06, 2.37920784e-06, 2.42980150e-06, ...,
       2.28635495e-06, 2.33892908e-06, 2.38541196e-06]), array([3.15230215e-06, 3.38287337e-06, 3.37992209e-06, ...,
       3.11212500e-06, 3.19696886e-06, 3.23224777e-06]), array([4.66178807e-06, 5.38916166e-06, 5.23192218e-06, ...,
       4.57315265e-06, 4.62842186e-06, 4.70423916e-06]), array([1.76339851e-06, 2.00036956e-06, 1.96887538e-06, ...,
       1.70149528e-06, 1.72448151e-06, 1.75770154e-06]), array([1.53421664e-05, 1.74038951e-05, 1.71298850e-05, ...,
       1.48035873e-05, 1.50035752e-05, 1.52926008e-05]), array([1.53421664e-05, 1.74038951e-05, 1.71298850e-05, ...,
       1.48035873e-05, 1.50035752e-05, 1.52926008e-05])]",0.5,[],400,25000,0.1,15,0.7,21,2204.6081807509995,0.17088661194876362,11022.357357307203,8
1,12,deviance,"[0.00363227 0.00934442 0.01537346 0.02570887 0.03888322 0.00801918
 0.02826021 0.03402738 0.0686214  0.0408604  0.06226363 0.03192171]","[1.68427719 1.39907625 1.24788596 1.09046223 0.96225996 1.44536039
 1.06129    1.00379098 0.78241842 0.94676258 0.81362743 1.02360797]","[array([3.59924550e-06, 3.60937485e-06, 3.60895681e-06, ...,
       3.59960428e-06, 3.60284850e-06, 3.60212293e-06]), array([4.76400738e-06, 4.83498730e-06, 4.82869033e-06, ...,
       4.75992107e-06, 4.76937867e-06, 4.77219411e-06]), array([5.45491845e-06, 5.56759102e-06, 5.72100584e-06, ...,
       5.48644239e-06, 5.49272847e-06, 5.47901515e-06]), array([6.27742159e-06, 6.43686240e-06, 6.69976641e-06, ...,
       6.31697379e-06, 6.35253689e-06, 6.31710934e-06]), array([6.92737038e-06, 7.21572799e-06, 7.78977127e-06, ...,
       7.00581551e-06, 7.08389635e-06, 7.16284246e-06]), array([4.11725477e-06, 4.27692120e-06, 4.65280689e-06, ...,
       4.14695449e-06, 4.20065865e-06, 4.24132522e-06]), array([6.08854536e-06, 6.26311404e-06, 7.09541446e-06, ...,
       6.07597534e-06, 6.15409054e-06, 6.20581821e-06]), array([6.30863509e-06, 6.50716667e-06, 7.70530678e-06, ...,
       6.30652969e-06, 6.39450419e-06, 6.43893326e-06]), array([7.72533115e-06, 7.98996722e-06, 1.02047523e-05, ...,
       7.67838765e-06, 7.78540285e-06, 7.89111864e-06]), array([6.31019632e-06, 6.54481455e-06, 8.51111731e-06, ...,
       6.23645476e-06, 6.33239958e-06, 6.40877727e-06]), array([7.09769395e-06, 7.33219172e-06, 9.73774573e-06, ...,
       6.98396161e-06, 7.12114463e-06, 7.16507398e-06]), array([1.51710600e-05, 1.56722903e-05, 2.08140736e-05, ...,
       1.49279613e-05, 1.52211849e-05, 1.53150823e-05]), array([1.51710600e-05, 1.56722903e-05, 2.08140736e-05, ...,
       1.49279613e-05, 1.52211849e-05, 1.53150823e-05])]",0.3,[],350,25000,0.1,25,0.7,21,2046.4993596301406,0.15863106422991555,10231.862273893783,12
2,8,deviance,"[0.00479234 0.01580026 0.03588867 0.01806492 0.01379839 0.08071283
 0.02865134 0.05099353]","[2.66796605 2.06590109 1.64539263 1.99777653 2.13465452 1.21635052
 1.76174255 1.46185838]","[array([1.34811663e-06, 1.35407843e-06, 1.35313215e-06, ...,
       1.34880829e-06, 1.34857799e-06, 1.35398244e-06]), array([2.42509477e-06, 2.44621779e-06, 2.54114138e-06, ...,
       2.41886675e-06, 2.43644965e-06, 2.44178703e-06]), array([3.52064908e-06, 3.75994118e-06, 3.87403928e-06, ...,
       3.54787863e-06, 3.60469445e-06, 3.60737443e-06]), array([2.29632673e-06, 2.47627012e-06, 2.63678784e-06, ...,
       2.32038774e-06, 2.37365631e-06, 2.36677728e-06]), array([1.93698278e-06, 2.11606124e-06, 2.27542889e-06, ...,
       1.97140979e-06, 2.01256170e-06, 2.03621271e-06]), array([4.79591822e-06, 5.20450601e-06, 6.40302915e-06, ...,
       4.86374474e-06, 5.09743123e-06, 5.01143619e-06]), array([2.52110262e-06, 2.83777754e-06, 3.43568055e-06, ...,
       2.54263415e-06, 2.70276910e-06, 2.60545200e-06]), array([1.39082084e-05, 1.56552141e-05, 1.89536756e-05, ...,
       1.40269918e-05, 1.49104109e-05, 1.43735400e-05]), array([1.39082084e-05, 1.56552141e-05, 1.89536756e-05, ...,
       1.40269918e-05, 1.49104109e-05, 1.43735400e-05])]",0.5,[],400,25000,0.1,12,0.7,21,2421.807322085794,0.1877224495842023,12108.285720630633,8
3,12,deviance,"[0.00465498 0.01554882 0.03219255 0.06928222 0.01707682 0.02031365
 0.05339971 0.0334627  0.09770177 0.11819077 0.04645979 0.08296449]","[2.6825763  2.07404979 1.70164901 1.29888386 2.02640436 1.93796972
 1.43753576 1.68164421 1.1115127  1.00483785 1.51079717 1.20136677]","[array([1.32741681e-06, 1.33443228e-06, 1.34655964e-06, ...,
       1.32921910e-06, 1.32908985e-06, 1.33399833e-06]), array([2.39848632e-06, 2.45153165e-06, 2.47227716e-06, ...,
       2.40477909e-06, 2.41047597e-06, 2.43177208e-06]), array([3.44146785e-06, 3.48512132e-06, 3.65035553e-06, ...,
       3.37293926e-06, 3.38030090e-06, 3.40500948e-06]), array([5.01041224e-06, 5.14577213e-06, 5.70436185e-06, ...,
       4.92265459e-06, 4.82267820e-06, 4.81140484e-06]), array([2.17217391e-06, 2.26992076e-06, 2.56687079e-06, ...,
       2.14788253e-06, 2.12101824e-06, 2.09360591e-06]), array([2.32441267e-06, 2.45296700e-06, 2.78106555e-06, ...,
       2.29973040e-06, 2.25807360e-06, 2.27084915e-06]), array([3.82253682e-06, 4.10098725e-06, 4.73044898e-06, ...,
       3.69338204e-06, 4.30480363e-06, 3.62578945e-06]), array([2.85069045e-06, 2.98303510e-06, 3.55751726e-06, ...,
       2.70421086e-06, 3.13359844e-06, 2.65392076e-06]), array([4.92010961e-06, 5.15978396e-06, 6.35758134e-06, ...,
       4.66474615e-06, 5.32986493e-06, 4.97391181e-06]), array([5.00051677e-06, 5.25700050e-06, 7.53373412e-06, ...,
       4.70713049e-06, 5.31132433e-06, 4.98860626e-06]), array([2.71493579e-06, 2.79204698e-06, 4.20396847e-06, ...,
       2.52892709e-06, 2.85807264e-06, 2.75806613e-06]), array([1.14080794e-05, 1.17320984e-05, 1.76649504e-05, ...,
       1.06264764e-05, 1.20095362e-05, 1.15893118e-05]), array([1.14080794e-05, 1.17320984e-05, 1.76649504e-05, ...,
       1.06264764e-05, 1.20095362e-05, 1.15893118e-05])]",0.5,[],300,25000,0.1,15,0.7,21,3248.30505301656,0.25178707487920005,16240.518116783282,12
4,10,deviance,"[0.0042086  0.00677895 0.01084678 0.01526916 0.02140616 0.02643876
 0.03440975 0.01864206 0.03377128 0.01427697]","[1.09328173 0.99742616 0.90259629 0.83330666 0.76448755 0.7212259
 0.66687994 0.79270339 0.67075794 0.8469455 ]","[array([6.50131001e-06, 6.51113983e-06, 6.53832947e-06, ...,
       6.49886406e-06, 6.50220232e-06, 6.51213070e-06]), array([7.12516702e-06, 7.15480051e-06, 7.23316894e-06, ...,
       7.12058523e-06, 7.12982727e-06, 7.16334617e-06]), array([7.79464577e-06, 7.85322436e-06, 7.95838375e-06, ...,
       7.77823943e-06, 7.80135445e-06, 7.87452149e-06]), array([8.28027854e-06, 8.38379987e-06, 8.66949604e-06, ...,
       8.26150737e-06, 8.28947385e-06, 8.36861672e-06]), array([8.76619591e-06, 8.92632327e-06, 9.32159523e-06, ...,
       8.74281695e-06, 8.80968255e-06, 8.88011075e-06]), array([9.01892250e-06, 9.44206664e-06, 9.80898414e-06, ...,
       8.99996802e-06, 9.07549801e-06, 9.12983307e-06]), array([9.35122433e-06, 9.86645391e-06, 1.02850464e-05, ...,
       9.35946815e-06, 9.43537476e-06, 9.52661699e-06]), array([8.07363463e-06, 8.51201028e-06, 8.97025208e-06, ...,
       8.08634033e-06, 8.13396070e-06, 8.24993884e-06]), array([9.02878970e-06, 9.70241648e-06, 1.01535401e-05, ...,
       9.08976241e-06, 9.10311624e-06, 9.29689201e-06]), array([1.72374441e-05, 1.85235083e-05, 1.93847775e-05, ...,
       1.73538510e-05, 1.73793456e-05, 1.77492954e-05]), array([1.72374441e-05, 1.85235083e-05, 1.93847775e-05, ...,
       1.73538510e-05, 1.73793456e-05, 1.77492954e-05])]",0.2,[],300,10000,0.1,12,0.3,21,1465.6952915814147,0.11361098299212578,7328.022013975105,10
5,12,deviance,"[0.00321112 0.00611799 0.00872242 0.01351365 0.0200128  0.02468717
 0.02051117 0.03594851 0.02364833 0.03820635 0.03648136 0.01733554]","[1.14758406 1.01807692 0.94661956 0.85808979 0.77823351 0.73529488
 0.77321227 0.6578114  0.74410607 0.64515965 0.65475807 0.80750179]","[array([6.15654450e-06, 6.16904885e-06, 6.16443108e-06, ...,
       6.15355474e-06, 6.15520251e-06, 6.15396484e-06]), array([6.97896495e-06, 7.03170864e-06, 7.03959379e-06, ...,
       6.98322493e-06, 6.99121361e-06, 6.99629978e-06]), array([7.47189168e-06, 7.55863995e-06, 7.60298160e-06, ...,
       7.45271163e-06, 7.46095585e-06, 7.47164459e-06]), array([8.09423698e-06, 8.22992975e-06, 8.28861669e-06, ...,
       8.07958303e-06, 8.11410989e-06, 8.11439246e-06]), array([8.66744173e-06, 8.82991289e-06, 8.93682736e-06, ...,
       8.67289322e-06, 8.68699189e-06, 8.72206661e-06]), array([8.96377946e-06, 9.13128824e-06, 9.33802765e-06, ...,
       8.92536988e-06, 8.99284906e-06, 8.99415710e-06]), array([8.48326623e-06, 8.66900157e-06, 8.88239704e-06, ...,
       8.47410519e-06, 8.55385161e-06, 8.52980859e-06]), array([9.37396639e-06, 9.66175437e-06, 1.01038889e-05, ...,
       9.39325831e-06, 9.50499583e-06, 9.49683004e-06]), array([8.38491063e-06, 8.67472143e-06, 9.19757985e-06, ...,
       8.48181710e-06, 8.58454093e-06, 8.53101390e-06]), array([9.22627210e-06, 9.48714595e-06, 1.01945013e-05, ...,
       9.30213764e-06, 9.35179772e-06, 9.43196125e-06]), array([9.02060694e-06, 9.17360208e-06, 1.01854656e-05, ...,
       9.00672884e-06, 9.14200835e-06, 9.29458551e-06]), array([1.69305352e-05, 1.72176877e-05, 1.91168271e-05, ...,
       1.69044878e-05, 1.71583902e-05, 1.74447582e-05]), array([1.69305352e-05, 1.72176877e-05, 1.91168271e-05, ...,
       1.69044878e-05, 1.71583902e-05, 1.74447582e-05])]",0.2,[],400,10000,0.1,25,0.7,21,1566.0693212486117,0.12139131239815609,7829.861040993466,12
6,12,deviance,"[0.0036969  0.00647931 0.0088583  0.01302235 0.01856372 0.02623024
 0.03113999 0.04075459 0.04575303 0.00742177 0.01011519 0.0208236 ]","[1.11931138 1.00652808 0.94350057 0.86559611 0.7935616  0.72285241
 0.68752545 0.63171572 0.6075329  0.97917765 0.91671    0.77012492]","[array([6.33782009e-06, 6.34350691e-06, 6.36237862e-06, ...,
       6.33114208e-06, 6.34828068e-06, 6.34513818e-06]), array([7.06341282e-06, 7.08240658e-06, 7.14590841e-06, ...,
       7.05693359e-06, 7.07706233e-06, 7.08682421e-06]), array([7.47661746e-06, 7.49679444e-06, 7.69112531e-06, ...,
       7.46790961e-06, 7.51150042e-06, 7.49132011e-06]), array([8.02169742e-06, 8.06777681e-06, 8.32829290e-06, ...,
       8.01137076e-06, 8.07533848e-06, 8.05333850e-06]), array([8.53144288e-06, 8.77441131e-06, 9.01164170e-06, ...,
       8.52515337e-06, 8.59941155e-06, 8.65624374e-06]), array([9.13224735e-06, 9.34608618e-06, 9.65632046e-06, ...,
       9.03270823e-06, 9.12595541e-06, 9.24099159e-06]), array([9.28817422e-06, 9.63684416e-06, 9.99266773e-06, ...,
       9.21704315e-06, 9.31938463e-06, 9.42034643e-06]), array([9.59199609e-06, 1.00282731e-05, 1.05089211e-05, ...,
       9.57713691e-06, 9.93649203e-06, 9.83114231e-06]), array([9.69447838e-06, 1.01112469e-05, 1.06372324e-05, ...,
       9.64433672e-06, 9.99605458e-06, 9.87338697e-06]), array([6.49539855e-06, 6.77873294e-06, 7.18847589e-06, ...,
       6.47955043e-06, 6.70708813e-06, 6.68288368e-06]), array([6.90410712e-06, 7.19095311e-06, 7.63025360e-06, ...,
       6.86676446e-06, 7.13838064e-06, 7.07043374e-06]), array([1.71048302e-05, 1.78154871e-05, 1.89038481e-05, ...,
       1.70123142e-05, 1.76852396e-05, 1.75169021e-05]), array([1.71048302e-05, 1.78154871e-05, 1.89038481e-05, ...,
       1.70123142e-05, 1.76852396e-05, 1.75169021e-05])]",0.2,[],300,10000,0.1,25,0.7,21,1578.1765916191007,0.12232978773886526,7890.393638944548,12
7,12,deviance,"[0.00351119 0.01175199 0.02913284 0.04739487 0.00438976 0.01988945
 0.06264477 0.05242763 0.03147359 0.02404895 0.12786375 0.01027933]","[2.824141   2.21595567 1.75316181 1.50034326 2.71204119 1.94873788
 1.35279108 1.44723478 1.71331342 1.85166051 0.9599902  2.28364397]","[array([1.15167243e-06, 1.15769524e-06, 1.16868633e-06, ...,
       1.15192451e-06, 1.15394382e-06, 1.16074422e-06]), array([2.09066959e-06, 2.12732702e-06, 2.18267836e-06, ...,
       2.09667339e-06, 2.10164621e-06, 2.12121012e-06]), array([3.21705457e-06, 3.31452210e-06, 3.54346404e-06, ...,
       3.23065670e-06, 3.29758506e-06, 3.30130094e-06]), array([3.93924746e-06, 4.12089524e-06, 4.50066050e-06, ...,
       3.97877460e-06, 4.05272752e-06, 4.10824872e-06]), array([1.07540921e-06, 1.13944327e-06, 1.24221491e-06, ...,
       1.08623470e-06, 1.10889588e-06, 1.11959373e-06]), array([2.29218369e-06, 2.54868041e-06, 2.69540236e-06, ...,
       2.32544464e-06, 2.36587979e-06, 2.39986518e-06]), array([4.27585933e-06, 4.83297475e-06, 4.92500328e-06, ...,
       4.17518692e-06, 4.25227210e-06, 4.39593502e-06]), array([3.62280590e-06, 4.03139770e-06, 4.39156778e-06, ...,
       3.53153347e-06, 3.55384448e-06, 3.81277583e-06]), array([2.64801125e-06, 2.86079850e-06, 3.33722600e-06, ...,
       2.52664984e-06, 2.56343198e-06, 2.74322941e-06]), array([2.23660564e-06, 2.45222840e-06, 2.85728300e-06, ...,
       2.10324826e-06, 2.18151540e-06, 2.27793318e-06]), array([5.45356485e-06, 6.17629293e-06, 7.40479028e-06, ...,
       5.16784404e-06, 5.32369206e-06, 5.34285788e-06]), array([1.24344953e-05, 1.40823641e-05, 1.68834208e-05, ...,
       1.17830326e-05, 1.21383766e-05, 1.21820760e-05]), array([1.24344953e-05, 1.40823641e-05, 1.68834208e-05, ...,
       1.17830326e-05, 1.21383766e-05, 1.21820760e-05])]",0.5,[],400,10000,0.1,12,0.3,21,2955.3932861580665,0.2290824964078805,14776.0501008047,12
8,10,deviance,"[0.00482024 0.01408586 0.02549781 0.0309867  0.05479773 0.0281059
 0.05920637 0.06435098 0.0238144  0.03632769]","[2.66505027 2.12419875 1.82166714 1.7213602  1.42387506 1.77163362
 1.38284738 1.33844415 1.85668109 1.63908552]","[array([1.35037176e-06, 1.35507658e-06, 1.37042466e-06, ...,
       1.35089556e-06, 1.35617614e-06, 1.35401262e-06]), array([2.29779166e-06, 2.33022534e-06, 2.37044435e-06, ...,
       2.28889929e-06, 2.29609806e-06, 2.31753291e-06]), array([2.98169905e-06, 3.18301519e-06, 3.15693311e-06, ...,
       3.00500608e-06, 2.99457536e-06, 3.07127241e-06]), array([3.15712976e-06, 3.63250468e-06, 3.54935669e-06, ...,
       3.18349358e-06, 3.16907760e-06, 3.24998993e-06]), array([4.12857602e-06, 4.78295119e-06, 4.83061686e-06, ...,
       4.14699151e-06, 4.09748220e-06, 4.25556632e-06]), array([2.70967151e-06, 3.11141439e-06, 3.35047621e-06, ...,
       2.73892022e-06, 2.68304367e-06, 2.77666344e-06]), array([3.90439792e-06, 4.42720594e-06, 5.28489557e-06, ...,
       3.92741533e-06, 3.88202913e-06, 3.96260681e-06]), array([3.89538762e-06, 4.43752249e-06, 5.52138532e-06, ...,
       3.86422407e-06, 3.90693253e-06, 3.90630436e-06]), array([2.15288514e-06, 2.43225798e-06, 3.28659192e-06, ...,
       2.11262849e-06, 2.14750219e-06, 2.12319942e-06]), array([1.31637623e-05, 1.48719806e-05, 2.00957841e-05, ...,
       1.29176140e-05, 1.31308484e-05, 1.29822497e-05]), array([1.31637623e-05, 1.48719806e-05, 2.00957841e-05, ...,
       1.29176140e-05, 1.31308484e-05, 1.29822497e-05])]",0.5,[],400,10000,0.1,25,0.3,21,2572.0145606494184,0.19936551900235783,12859.275341171082,10
9,8,deviance,"[0.0043729  0.00792567 0.01687445 0.02854202 0.04180085 0.05551807
 0.00997599 0.01603309]","[1.62838379 1.4489073  1.2194808  1.05822622 0.93964168 0.85017838
 1.37926448 1.23508129]","[array([3.81092674e-06, 3.81494178e-06, 3.84399250e-06, ...,
       3.80905857e-06, 3.80926381e-06, 3.82252381e-06]), array([4.52826638e-06, 4.55418267e-06, 4.62030359e-06, ...,
       4.52107076e-06, 4.52980900e-06, 4.56604466e-06]), array([5.63404785e-06, 5.70436205e-06, 5.88304794e-06, ...,
       5.62697204e-06, 5.64237616e-06, 5.73737266e-06]), array([6.47710607e-06, 6.64184851e-06, 6.97118191e-06, ...,
       6.49046924e-06, 6.58299484e-06, 6.68225465e-06]), array([7.06986055e-06, 7.41618909e-06, 8.22195015e-06, ...,
       7.12889683e-06, 7.21579837e-06, 7.38425583e-06]), array([7.43344157e-06, 8.08882694e-06, 8.97966410e-06, ...,
       7.56014162e-06, 7.68704811e-06, 7.85136686e-06]), array([4.15364602e-06, 4.53043148e-06, 5.11257271e-06, ...,
       4.23491883e-06, 4.30547458e-06, 4.43158765e-06]), array([1.62662664e-05, 1.77418117e-05, 2.00215592e-05, ...,
       1.65845422e-05, 1.68608486e-05, 1.73547252e-05]), array([1.62662664e-05, 1.77418117e-05, 2.00215592e-05, ...,
       1.65845422e-05, 1.68608486e-05, 1.73547252e-05])]",0.3,[],300,25000,0.1,12,0.3,21,1603.512621611395,0.12429366883275676,8017.065933381644,8
