,Gender.F,Zone.1,Zone.2,Zone.3,Zone.4,Zone.5,Zone.6,Class.1,Class.2,Class.3,Class.4,Class.5,Class.6,BonusClass.1,BonusClass.2,BonusClass.3,BonusClass.4,BonusClass.5,BonusClass.6,OwnersAge,VehiculeAge,Duration,NumberClaims,ClaimFrequency
56695,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.539473684210526,0.111111111111111,1.0,0,0.0
14848,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.18421052631578896,0.141414141414141,0.471233,0,0.0
28812,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.34210526315789497,0.161616161616162,1.0,0,0.0
58424,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.5657894736842111,0.0101010101010101,2.4301369999999998,0,0.0
26310,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.328947368421053,0.161616161616162,0.534247,0,0.0
53014,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.513157894736842,0.0202020202020202,0.00274,0,0.0
40628,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.421052631578947,0.18181818181818202,0.49863,0,0.0
42035,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.434210526315789,0.12121212121212101,0.09863,0,0.0
30007,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.35526315789473706,0.0707070707070707,1.032877,0,0.0
10879,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.144736842105263,0.15151515151515196,1.0,0,0.0
52681,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.5,0.0606060606060606,0.6657529999999999,0,0.0
8271,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.131578947368421,0.161616161616162,0.630137,0,0.0
27349,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.328947368421053,0.131313131313131,2.312329,0,0.0
41867,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.421052631578947,0.161616161616162,1.0,0,0.0
25381,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.315789473684211,0.0909090909090909,0.419178,0,0.0
40777,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.421052631578947,0.18181818181818202,3.0,0,0.0
29866,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.35526315789473706,0.0202020202020202,0.49588999999999994,0,0.0
8227,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.131578947368421,0.111111111111111,0.49863,0,0.0
4602,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0921052631578947,0.0101010101010101,0.134247,0,0.0
18537,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.223684210526316,0.202020202020202,1.0,0,0.0
56454,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.539473684210526,0.0101010101010101,0.9726030000000001,0,0.0
36503,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.39473684210526294,0.212121212121212,0.43287700000000007,0,0.0
14528,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.18421052631578896,0.0303030303030303,0.6027399999999999,0,0.0
43687,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.434210526315789,0.191919191919192,0.073973,0,0.0
3281,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0789473684210526,0.18181818181818202,0.9342469999999999,0,0.0
38002,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.40789473684210503,0.0,0.49863,0,0.0
25490,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.315789473684211,0.131313131313131,0.758904,0,0.0
4837,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.10526315789473699,0.0808080808080808,0.013699000000000001,0,0.0
54389,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.526315789473684,0.36363636363636404,0.254795,0,0.0
47637,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.460526315789474,0.45454545454545503,1.0,0,0.0
57978,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5657894736842111,0.111111111111111,1.0,0,0.0
26465,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.328947368421053,0.111111111111111,0.043836,0,0.0
2930,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0789473684210526,0.0404040404040404,1.052055,0,0.0
30292,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.35526315789473706,0.191919191919192,0.39726,0,0.0
9789,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.144736842105263,0.12121212121212101,0.9342469999999999,0,0.0
46991,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.460526315789474,0.15151515151515196,2.353425,0,0.0
43132,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.434210526315789,0.0808080808080808,0.5095890000000001,0,0.0
9323,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.131578947368421,0.0707070707070707,0.50137,0,0.0
48655,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.47368421052631604,0.393939393939394,0.947945,0,0.0
37244,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.39473684210526294,0.0303030303030303,5.460274,0,0.0
38157,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.40789473684210503,0.222222222222222,0.413699,0,0.0
55038,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.526315789473684,0.12121212121212101,0.9561639999999999,0,0.0
31699,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.368421052631579,0.18181818181818202,1.0,0,0.0
4458,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0921052631578947,0.0202020202020202,1.512329,0,0.0
35689,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0.381578947368421,0.0606060606060606,0.558904,0,0.0
30015,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.35526315789473706,0.12121212121212101,0.441096,0,0.0
45519,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.447368421052632,0.161616161616162,3.736986,0,0.0
