OwnersAge,Gender,Zone,Class,VehiculeAge,BonusClass,Duration,NumberClaims,ClaimCost
16,K,1,3,7,1,0.232877,0,0
16,K,2,2,11,1,0,0,0
16,K,3,1,15,1,0.50137,0,0
16,K,4,1,10,1,0.336986,0,0
16,K,4,1,10,2,0.249315,0,0
16,K,4,1,13,1,0.473973,0,0
16,K,4,1,16,1,0.50411,0,0
16,K,4,1,17,1,0.443836,0,0
16,K,4,2,12,1,0.835616,0,0
16,K,4,2,12,2,0.252055,0,0
16,K,4,3,11,1,0,0,0
16,K,5,3,8,1,0.465753,0,0
16,K,6,1,13,1,0.243836,0,0
16,M,1,1,3,2,0,0,0
16,M,1,1,9,1,0.438356,0,0
16,M,1,1,13,1,0.060274,0,0
16,M,1,2,7,1,0.167123,0,0
16,M,1,2,7,3,0.09589,0,0
16,M,1,2,13,1,0.441096,0,0
16,M,1,3,6,1,0.517808,0,0
16,M,1,3,8,1,0.884932,0,0
16,M,2,1,4,1,0.635616,0,0
16,M,2,1,6,1,0.372603,0,0
16,M,2,1,8,1,1.120548,0,0
16,M,2,1,9,1,0.293151,0,0
16,M,2,1,18,1,0.342466,0,0
16,M,2,2,9,1,0.953425,0,0
16,M,2,2,10,1,0.424658,1,6847
16,M,2,2,11,1,0.010959,0,0
16,M,2,2,12,1,1.70137,0,0
16,M,2,2,12,2,0.021918,0,0
16,M,2,2,13,1,0.460274,0,0
16,M,2,3,4,2,0.578082,0,0
16,M,2,3,5,1,1.243836,0,0
16,M,2,3,5,2,0.046575,0,0
16,M,2,3,6,1,1.50137,0,0
16,M,2,3,6,3,0.016438,0,0
16,M,2,3,8,1,0.205479,0,0
16,M,2,3,11,1,0.060274,0,0
16,M,3,1,8,1,0.479452,0,0
16,M,3,1,10,1,0.446575,0,0
16,M,3,1,12,1,0.161644,0,0
16,M,3,1,13,1,0.769863,0,0
16,M,3,1,14,1,0.542466,0,0
16,M,3,1,15,1,0.016438,0,0
16,M,3,1,16,1,0.161644,0,0
16,M,3,2,6,1,0,0,0
16,M,3,2,9,1,0.438356,0,0
16,M,3,2,10,1,0.046575,0,0
16,M,3,2,11,1,1.315068,0,0
16,M,3,2,12,1,0.191781,0,0
16,M,3,3,4,1,1.167123,0,0
16,M,3,3,5,1,0.59726,0,0
16,M,3,3,6,1,1.19726,0,0
16,M,3,3,7,1,1.8,1,20223
16,M,3,3,7,2,0.082192,0,0
16,M,4,1,0,2,0.50137,0,0
16,M,4,1,1,1,0.660274,0,0
16,M,4,1,2,1,1.854795,0,0
16,M,4,1,3,1,1.958904,0,0
16,M,4,1,4,1,1.728767,0,0
16,M,4,1,5,1,0.386301,0,0
16,M,4,1,6,1,0.936986,0,0
16,M,4,1,7,1,0.975342,0,0
16,M,4,1,8,1,1.063014,0,0
16,M,4,1,10,1,0,0,0
16,M,4,1,11,1,1.641096,0,0
16,M,4,1,12,1,0.608219,0,0
16,M,4,1,12,2,0.320548,0,0
16,M,4,1,13,1,0.413699,0,0
16,M,4,1,14,1,0.673973,0,0
16,M,4,1,15,1,0.19726,0,0
16,M,4,1,17,1,0.378082,0,0
16,M,4,1,23,1,0.49589,0,0
16,M,4,2,5,1,0.432877,0,0
16,M,4,2,6,1,0.443836,0,0
16,M,4,2,7,1,1.408219,0,0
16,M,4,2,7,2,0.50137,0,0
16,M,4,2,8,1,2.871233,0,0
16,M,4,2,9,1,2.024658,0,0
16,M,4,2,10,1,1.79726,0,0
16,M,4,2,10,2,0.263014,0,0
16,M,4,2,11,1,3.016438,0,0
16,M,4,2,12,1,3.665753,0,0
16,M,4,2,12,2,0.252055,0,0
16,M,4,2,13,1,2.071233,0,0
16,M,4,2,14,1,0.060274,0,0
16,M,4,2,15,1,0.328767,0,0
16,M,4,2,17,1,0.019178,0,0
16,M,4,3,3,1,1.013699,0,0
16,M,4,3,3,2,0.153425,0,0
16,M,4,3,4,1,1.868493,0,0
16,M,4,3,5,1,3.605479,0,0
16,M,4,3,6,1,2.523288,0,0
16,M,4,3,7,1,3.739726,0,0
16,M,4,3,7,2,0.4,0,0
16,M,4,3,8,1,0.484932,0,0
16,M,4,3,9,1,1.780822,0,0
16,M,4,3,10,1,0.427397,0,0
16,M,4,3,11,1,0.443836,0,0
16,M,4,3,12,1,0.413699,0,0
16,M,4,3,18,1,0.038356,0,0
16,M,5,2,7,1,0.482192,0,0
16,M,5,2,8,1,0.723288,0,0
16,M,5,2,9,1,0.235616,0,0
16,M,5,2,12,1,0.065753,0,0
16,M,5,2,13,1,0.336986,0,0
16,M,5,2,16,1,0.00274,0,0
16,M,5,3,7,1,0.452055,0,0
16,M,6,1,1,1,0.060274,0,0
16,M,6,1,3,1,0.443836,0,0
16,M,6,1,10,1,0.010959,0,0
16,M,6,1,22,1,0.931507,0,0
16,M,6,2,7,1,0.145205,0,0
16,M,6,2,8,1,0.232877,0,0
16,M,6,2,10,1,0.210959,0,0
16,M,6,3,4,1,0.128767,0,0
16,M,6,3,6,1,0.19726,0,0
16,M,7,1,16,1,0.421918,0,0
16,M,7,1,18,1,0,0,0
16,M,7,2,15,1,0,0,0
17,K,1,1,7,1,0.994521,0,0
17,K,1,1,12,1,0.536986,0,0
17,K,1,3,8,1,0.189041,0,0
17,K,1,3,8,3,0.528767,0,0
17,K,2,1,10,1,1.046575,0,0
17,K,2,2,13,1,0,0,0
